trial_id,run_id,ObjectSpace,condition,image_file,iti,sampled_f0,sampled_f1,event_type,fix_dur,fix_kind,trial_duration_max,img_onset,img_dur,isi1_dur,isi1_type,dec_onset_est,max_dec_dur,isi2_dur,isi2_type,fb_dur
86,3,,Fixation,,1.387223243713379,,,fixation,5.0,run_end,2.6523271799087524,230.54421997070312,0.0,1.3116596937179565,hidden,231.8558807373047,0.0,1.340667486190796,fixation,0.0
87,4,,Fixation,,1.467841386795044,,,fixation,10.0,run_start,2.652563452720642,0.0,0.0,1.3940892219543457,hidden,1.3940892219543457,0.0,1.2584742307662964,fixation,0.0
88,4,22.0,Congruent,13b_0.694_0.592.png,1.323326587677002,0.695,0.587,,,,7.002265810966492,4.1204047203063965,1.0,1.177978277206421,hidden,6.2983832359313965,2.5,1.3242875337600708,fixation,1.0
89,4,11.0,Congruent,11_0.000_0.735.png,1.2778724431991577,0.0,0.725,,,,7.327289700508118,12.44599723815918,1.0,1.3835705518722534,hidden,14.829567909240723,2.5,1.4437191486358643,fixation,1.0
90,4,18.0,Incongruent,18_0.102_0.367.png,1.434186339378357,0.095,0.374,,,,7.201553106307983,21.051158905029297,1.0,1.3245296478271484,hidden,23.375688552856445,2.5,1.377023458480835,fixation,1.0
91,4,1.0,Medium,1_0.306_0.020.png,1.396969199180603,0.307,0.026,,,,6.9370410442352295,29.686899185180664,1.0,1.2947440147399902,hidden,31.981643676757812,2.5,1.1422970294952393,fixation,1.0
92,4,8.0,Congruent,8_0.265_0.898.png,1.395387053489685,0.272,0.902,,,,6.889392375946045,38.02090835571289,1.0,1.295177936553955,hidden,40.31608581542969,2.5,1.0942144393920898,fixation,1.0
93,4,9.0,Medium,9_0.000_0.429.png,1.3556197881698608,0.006,0.424,,,,7.046180844306946,46.305686950683594,1.0,1.1287930011749268,hidden,48.43448257446289,2.5,1.417387843132019,fixation,1.0
94,4,22.0,Congruent,13b_0.918_0.755.png,1.4581539630889893,0.927,0.754,,,,7.178229451179504,54.707489013671875,1.0,1.3161178827285767,hidden,57.02360534667969,2.5,1.3621115684509277,fixation,1.0
95,4,11.0,Congruent,11_0.571_0.286.png,1.4259661436080933,0.578,0.279,,,,6.940249800682068,63.3438720703125,1.0,1.2892497777938843,hidden,65.63312530517578,2.5,1.1510000228881836,fixation,1.0
96,4,22.0,Congruent,13b_0.816_0.551.png,1.4604902267456055,0.816,0.546,,,,6.9871379137039185,71.71009063720703,1.0,1.21138334274292,hidden,73.92147064208984,2.5,1.2757545709609985,fixation,1.0
97,4,1.0,Medium,1_0.490_0.082.png,1.3286235332489014,0.495,0.083,,,,7.146658778190613,80.15771484375,1.0,1.2193195819854736,hidden,82.37703704833984,2.5,1.4273391962051392,fixation,1.0
98,4,11.0,Congruent,11_0.286_1.000.png,1.2267913818359375,0.285,1.0,,,,6.8770411014556885,88.63299560546875,1.0,1.1557130813598633,hidden,90.78871154785156,2.5,1.2213280200958252,fixation,1.0
99,4,9.0,Medium,9_0.265_0.408.png,1.437609314918518,0.261,0.407,,,,7.225924253463745,96.73683166503906,1.0,1.4098784923553467,hidden,99.14671325683594,2.5,1.3160457611083984,fixation,1.0
100,4,2.0,Incongruent,2_0.714_0.469.png,1.259154200553894,0.722,0.473,,,,7.312901020050049,105.4003677368164,1.0,1.4491361379623413,hidden,107.84950256347656,2.5,1.3637648820877075,fixation,1.0
101,4,3.0,Incongruent,3_0.286_0.367.png,1.408658742904663,0.287,0.36,,,,7.0588074922561646,113.97241973876953,1.0,1.4347858428955078,hidden,116.4072036743164,2.5,1.1240216493606567,fixation,1.0
102,4,20.0,Medium,20_0.796_0.612.png,1.2731449604034424,0.792,0.608,,,,7.054012656211853,122.43988800048828,1.0,1.3631774187088013,hidden,124.80306243896484,2.5,1.1908352375030518,fixation,1.0
103,4,2.0,Incongruent,2_0.612_0.000.png,1.3685075044631958,0.603,0.0,,,,7.400252103805542,130.7670440673828,1.0,1.4802231788635254,hidden,133.2472686767578,2.5,1.4200289249420166,fixation,1.0
104,4,20.0,Medium,20_0.694_0.857.png,1.442747950553894,0.692,0.856,,,,6.810865521430969,139.53579711914062,1.0,1.0838587284088135,hidden,141.61965942382812,2.5,1.2270067930221558,fixation,1.0
105,4,8.0,Congruent,8_0.878_0.633.png,1.3257927894592285,0.868,0.632,,,,7.119534850120544,147.78941345214844,1.0,1.3119837045669556,hidden,150.1013946533203,2.5,1.3075511455535889,fixation,1.0
106,4,3.0,Incongruent,3_0.306_0.510.png,1.4455435276031494,0.311,0.517,,,,7.170984745025635,156.2347412109375,1.0,1.4047527313232422,hidden,158.63949584960938,2.5,1.2662320137023926,fixation,1.0
107,4,18.0,Incongruent,18_0.653_0.490.png,1.41376531124115,0.654,0.498,,,,7.073095321655273,164.8512725830078,1.0,1.3332642316818237,hidden,167.18453979492188,2.5,1.2398310899734497,fixation,1.0
108,4,20.0,Medium,20_0.796_0.898.png,1.3168628215789795,0.79,0.898,,,,7.066090226173401,173.338134765625,1.0,1.1771888732910156,hidden,175.51531982421875,2.5,1.3889013528823853,fixation,1.0
109,4,9.0,Medium,9_0.082_0.163.png,1.2496005296707153,0.079,0.167,,,,6.975781559944153,181.72108459472656,1.0,1.393769383430481,hidden,184.11485290527344,2.5,1.0820121765136719,fixation,1.0
110,4,18.0,Incongruent,18_0.286_0.449.png,1.2472776174545288,0.278,0.444,,,,6.962249517440796,189.94647216796875,1.0,1.0987815856933594,hidden,192.04525756835938,2.5,1.3634679317474365,fixation,1.0
111,4,1.0,Medium,1_0.776_0.408.png,1.3975211381912231,0.777,0.414,,,,7.041007995605469,198.15599060058594,1.0,1.3915235996246338,hidden,200.54751586914062,2.5,1.149484395980835,fixation,1.0
112,4,3.0,Incongruent,3_0.449_0.102.png,1.4421287775039673,0.451,0.109,,,,7.011508941650391,206.5945281982422,1.0,1.1129707098007202,hidden,208.70748901367188,2.5,1.3985382318496704,fixation,1.0
